,Day,Time,delay
1,Friday,1,arrival_time
2,Friday,2,1129
3,Friday,3,1221
4,Friday,4,1325
5,Friday,5,1422
6,Friday,6,1519
7,Friday,7,1619
8,Friday,8,1718
9,Friday,9,1820
10,Friday,10,1928
11,Friday,11,2030
12,Friday,12,2123
13,Friday,13,2218
14,Friday,14,656
15,Friday,15,728
16,Friday,16,756
17,Friday,17,823
18,Friday,18,841
19,Friday,19,904
20,Friday,20,923
21,Friday,21,1018
22,Friday,22,1019
23,Friday,23,1118
24,Friday,24,1159
25,Friday,25,1256
26,Friday,26,1355
27,Friday,27,1507
28,Friday,28,1557
29,Friday,29,1659
30,Friday,30,1800
31,Friday,31,1905
32,Friday,32,2004
33,Friday,33,2109
34,Friday,34,2155
35,Friday,35,2305
36,Friday,36,3
