,Day,Time,delay
1,Monday,1222,3
2,Monday,1319,1
3,Monday,1421,2
4,Monday,1517,0
5,Monday,1619,3
6,Monday,1719,0
7,Monday,1840,22
8,Monday,1927,10
9,Monday,2030,10
10,Monday,2129,10
11,Monday,2235,6
12,Monday,656,2
13,Monday,725,0
14,Monday,757,0
15,Monday,836,12
16,Monday,848,6
17,Monday,910,6
18,Monday,934,10
19,Monday,1000,42
20,Monday,1023,4
21,Monday,1056,1
22,Monday,1128,9
23,Monday,1204,49
24,Monday,1256,1
25,Monday,1356,1
26,Monday,1452,0
27,Monday,1609,54
28,Monday,1658,1
29,Monday,1809,51
30,Monday,1857,2
31,Monday,2008,53
32,Monday,2113,58
33,Monday,2200,0
34,Monday,2302,1
35,Monday,7,7
